1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
56.2425 	EXP 	grating: autoDraw = True
56.2550 	EXP 	fixation: autoDraw = False
56.5589 	EXP 	grating: autoDraw = False
56.8964 	EXP 	New trial (rep=23, index=0): None
56.8991 	DATA 	Keypress: down
56.9084 	EXP 	fixation: autoDraw = False
56.9084 	EXP 	grating: autoDraw = False
56.9084 	EXP 	grating: ori = 1.0
56.9084 	EXP 	fixation: autoDraw = True
57.9094 	EXP 	fixation: autoDraw = False
57.9094 	EXP 	grating: autoDraw = True
58.2261 	EXP 	grating: autoDraw = False
58.8962 	EXP 	New trial (rep=24, index=0): None
58.8989 	DATA 	Keypress: up
58.9083 	EXP 	fixation: autoDraw = False
58.9083 	EXP 	grating: autoDraw = False
58.9083 	EXP 	grating: ori = 0.0
58.9083 	EXP 	fixation: autoDraw = True
59.9091 	EXP 	fixation: autoDraw = False
59.9091 	EXP 	grating: autoDraw = True
60.2257 	EXP 	grating: autoDraw = False
61.0971 	EXP 	New trial (rep=25, index=0): None
61.1000 	DATA 	Keypress: up
61.1087 	EXP 	fixation: autoDraw = False
61.1087 	EXP 	grating: autoDraw = False
61.1087 	EXP 	grating: ori = 0.0
61.1087 	EXP 	fixation: autoDraw = True
62.1085 	EXP 	fixation: autoDraw = False
62.1085 	EXP 	grating: autoDraw = True
62.4260 	EXP 	grating: autoDraw = False
63.2097 	EXP 	New trial (rep=26, index=0): None
63.2124 	DATA 	Keypress: up
63.2258 	EXP 	fixation: autoDraw = False
63.2258 	EXP 	grating: autoDraw = False
63.2258 	EXP 	grating: ori = 2.0
63.2258 	EXP 	fixation: autoDraw = True
64.2251 	EXP 	grating: autoDraw = True
64.2429 	EXP 	fixation: autoDraw = False
64.5219 	EXP 	grating: autoDraw = False
65.0767 	EXP 	New trial (rep=27, index=0): None
65.0794 	DATA 	Keypress: down
65.0936 	EXP 	fixation: autoDraw = False
65.0936 	EXP 	grating: autoDraw = False
